"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C3, C4, C5, C6, C11, C12, C19, C20, C21, C22, C23, C28, C29","15","100nF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"2","C7, C8, C9, C10, C13, C16, C17, C25","8","10uF","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
"3","C14, C15","2","22pF","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm",""
"4","C18","1","4.7uF","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm",""
"5","C24","1","10uF","Capacitor_THT:CP_Radial_Tantal_D4.5mm_P2.50mm",""
"6","D1, D2","2","D_Zener","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"7","H1, H2","2","MountingHole_Pad","MountingHole:MountingHole_2.2mm_M2_DIN965_Pad",""
"8","H3","1","MountingHole_Pad","MountingHole:MountingHole_3mm_Pad",""
"9","J1","1","Conn_01x08","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical",""
"10","J2","1","MD-90SM","KiCad:MD90SM",""
"11","Q1","1","2N3906","Package_TO_SOT_THT:TO-92_Wide",""
"12","R1","1","100K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"13","R2","1","5K6","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"14","R3, R4, R8","3","4K7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"15","R5","1","580k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"16","R6, R10","2","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"17","R7","1","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"18","R9","1","100R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"19","R11","1","470R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"20","R12, R16, R17","3","910R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"21","R13","1","680R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"22","R14","1","160R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"23","R15","1","620R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"24","R18, R19, R21, R22, R25","5","75R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"25","R20","1","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
"26","R23, R24","2","330R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"27","R26","1","10R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"28","R27","1","180R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"29","U1","1","NE5532","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"30","U2, U7","2","MAX4395ESD","Package_SO:SO-14_3.9x8.65mm_P1.27mm",""
"31","U3","1","LM1881","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm",""
"32","U5","1","ADG453","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm",""
"33","U6","1","LMH1251","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm",""
"34","U8","1","L7805","Package_TO_SOT_THT:TO-220-3_Vertical",""
